tf	tg	regtype	source	evidence
nagc	feob	?	[aibscs]	weak	
nagc	feoc	?	[aibscs]	weak	
nagc	fimb	+	[aibscs, bpp, gea, hibscs, sm]	weak	
nagc	galp	-	[aibscs, bpp, sm]	weak	
nagc	glms	+	[bpp, hibscs, sm]	strong	
nagc	glms	-	[bpp, hibscs, sm]	strong	
nagc	glmu	+	[bpp, hibscs, sm]	strong	
nagc	glmu	-	[bpp, hibscs, sm]	strong	
nagc	manx	-	[aibscs, bce, gea, hibscs]	weak	
nagc	many	-	[aibscs, bce, gea, hibscs]	weak	
nagc	manz	-	[aibscs, bce, gea, hibscs]	weak	
nagc	naga	-	[bpp, gea, sm]	strong	
nagc	nagb	-	[bpp, gea, sm]	strong	
nagc	nagc	-	[bpp, gea, sm]	strong	
nagc	nage	-	[bpp, gea, sm]	strong	
nagc	nanc	-	[aibscs, bpp, gea, hibscs, sm]	weak	
nagc	nanm	-	[aibscs, bpp, gea, hibscs, sm]	weak	
nagc	nans	-	[aibscs, bpp, gea, hibscs, sm]	weak	
nagc	ptsh	-	[aibscs]	weak	
nagc	ptsi	-	[aibscs]	weak	
nagc	umph	-	[bpp, gea, sm]	strong	
nagc	ybfn	-	[aibscs, bpp, gea]	weak	
nagc	ydem	-	[aibscs]	weak	
nagc	yden	-	[aibscs]	weak	
nagc	ydep	-	[aibscs]	weak	
nanr	fimb	+	[bpp, gea, hibscs, sm]	strong	
nanr	nana	-	[bpp, gea, sm]	strong	
nanr	nanc	-	[bpp, gea, hibscs, sm]	strong	
nanr	nane	-	[bpp, gea, sm]	strong	
nanr	nank	-	[bpp, gea, sm]	strong	
nanr	nanm	-	[bpp, gea, hibscs, sm]	strong	
nanr	nans	-	[bpp, gea, hibscs, sm]	strong	
nanr	nant	-	[bpp, gea, sm]	strong	
nanr	yhch	-	[bpp, gea, sm]	strong	
nanr	yjhb	-	[bpp, gea, sm]	strong	
nanr	yjhc	-	[bpp, gea, sm]	strong	
narl	adhe	-	[gea, hibscs]	weak	
narl	aspa	-	[bpp, gea]	strong	
narl	caif	-	[gea]	weak	
narl	ccma	-	[gea, hibscs, sm]	weak	
narl	ccmb	-	[gea, hibscs, sm]	weak	
narl	ccmc	-	[gea, hibscs, sm]	weak	
narl	ccmd	-	[gea, hibscs, sm]	weak	
narl	ccme	-	[gea, hibscs, sm]	weak	
narl	ccmf	-	[gea, hibscs, sm]	weak	
narl	ccmg	-	[gea, hibscs, sm]	weak	
narl	ccmh	-	[gea, hibscs, sm]	weak	
narl	citc	-	[aibscs]	weak	
narl	citd	-	[aibscs]	weak	
narl	cite	-	[aibscs]	weak	
narl	citf	-	[aibscs]	weak	
narl	citg	-	[aibscs]	weak	
narl	citx	-	[aibscs]	weak	
narl	cydc	+	[gea, hibscs]	weak	
narl	cydd	+	[gea, hibscs]	weak	
narl	cysg	+	[bce, bpp, gea, sm]	weak	
narl	dcua	-	[bpp, gea]	strong	
narl	dcub	-	[gea, hibscs]	weak	
narl	dcur	-	[bpp, gea, hibscs]	strong	
narl	dcus	-	[bpp, gea, hibscs]	strong	
narl	dmsa	-	[bce, bpp, hibscs]	weak	
narl	dmsb	-	[bce, bpp, hibscs]	weak	
narl	dmsc	-	[bce, bpp, hibscs]	weak	
narl	dmsd	-	[aibscs, bpp]	weak	
narl	dpia	-	[aibscs]	weak	
narl	dpib	-	[aibscs]	weak	
narl	fdhf	-	[bpp, gea]	strong	
narl	fdng	+	[bce, bpp, gea, hibscs, sm]	weak	
narl	fdnh	+	[bce, bpp, gea, hibscs, sm]	weak	
narl	fdni	+	[bce, bpp, gea, hibscs, sm]	weak	
narl	foca	-	[bpp, gea, hibscs]	strong	
narl	frda	-	[bpp, hibscs]	strong	
narl	frdb	-	[bpp, hibscs]	strong	
narl	frdc	-	[bpp, hibscs]	strong	
narl	frdd	-	[bpp, hibscs]	strong	
narl	fumb	-	[gea, hibscs]	weak	
narl	hcp	+	[bpp, gea, hibscs]	strong	
narl	hcr	+	[bpp, gea, hibscs]	strong	
narl	hyaa	-	[gea, hibscs]	weak	
narl	hyab	-	[gea, hibscs]	weak	
narl	hyac	-	[gea, hibscs]	weak	
narl	hyad	-	[gea, hibscs]	weak	
narl	hyae	-	[gea, hibscs]	weak	
narl	hyaf	-	[gea, hibscs]	weak	
narl	hyba	-	[gea, hibscs]	weak	
narl	hybb	-	[gea, hibscs]	weak	
narl	hybc	-	[gea, hibscs]	weak	
narl	hybd	-	[gea, hibscs]	weak	
narl	hybe	-	[gea, hibscs]	weak	
narl	hybf	-	[gea, hibscs]	weak	
narl	hybg	-	[gea, hibscs]	weak	
narl	hybo	-	[gea, hibscs]	weak	
narl	moea	+	[aibscs, gea]	weak	
narl	moeb	+	[aibscs, gea]	weak	
narl	napa	-	[gea, hibscs, sm]	weak	
narl	napb	-	[gea, hibscs, sm]	weak	
narl	napc	-	[gea, hibscs, sm]	weak	
narl	napd	-	[gea, hibscs, sm]	weak	
narl	napf	-	[gea, hibscs, sm]	weak	
narl	napg	-	[gea, hibscs, sm]	weak	
narl	naph	-	[gea, hibscs, sm]	weak	
narl	narg	+	[bpp, gea, hibscs, sm]	strong	
narl	narh	+	[bpp, gea, hibscs, sm]	strong	
narl	nari	+	[bpp, gea, hibscs, sm]	strong	
narl	narj	+	[bpp, gea, hibscs, sm]	strong	
narl	nark	+	[bpp, hibscs, sm]	strong	
narl	nika	-	[gea]	weak	
narl	nikb	-	[gea]	weak	
narl	nikc	-	[gea]	weak	
narl	nikd	-	[gea]	weak	
narl	nike	-	[gea]	weak	
narl	nikr	-	[gea]	weak	
narl	nirb	+	[bce, bpp, gea, sm]	weak	
narl	nirc	+	[bce, bpp, gea, sm]	weak	
narl	nird	+	[bce, bpp, gea, sm]	weak	
narl	norv	-	[gea, hibscs]	weak	
narl	norw	-	[gea, hibscs]	weak	
narl	nrfa	+	[aibscs, bpp, gea, hibscs, sm]	weak	
narl	nrfa	+-	[bpp, gea, hibscs, sm]	strong	
narl	nrfa	-	[bpp, gea, hibscs, sm]	strong	
narl	nrfb	+	[aibscs, bpp, gea, hibscs, sm]	weak	
narl	nrfb	+-	[bpp, gea, hibscs, sm]	strong	
narl	nrfb	-	[bpp, gea, hibscs, sm]	strong	
narl	nrfc	+	[aibscs, bpp, gea, hibscs, sm]	weak	
narl	nrfc	+-	[bpp, gea, hibscs, sm]	strong	
narl	nrfc	-	[bpp, gea, hibscs, sm]	strong	
narl	nrfd	+	[aibscs, bpp, gea, hibscs, sm]	weak	
narl	nrfd	+-	[bpp, gea, hibscs, sm]	strong	
narl	nrfd	-	[bpp, gea, hibscs, sm]	strong	
narl	nrfe	+	[aibscs, bpp, gea, hibscs, sm]	weak	
narl	nrfe	+-	[bpp, gea, hibscs, sm]	strong	
narl	nrfe	-	[bpp, gea, hibscs, sm]	strong	
narl	nrff	+	[aibscs, bpp, gea, hibscs, sm]	weak	
narl	nrff	+-	[bpp, gea, hibscs, sm]	strong	
narl	nrff	-	[bpp, gea, hibscs, sm]	strong	
narl	nrfg	+	[aibscs, bpp, gea, hibscs, sm]	weak	
narl	nrfg	+-	[bpp, gea, hibscs, sm]	strong	
narl	nrfg	-	[bpp, gea, hibscs, sm]	strong	
narl	nuoa	+	[gea, hibscs]	weak	
narl	nuob	+	[gea, hibscs]	weak	
narl	nuoc	+	[gea, hibscs]	weak	
narl	nuoe	+	[gea, hibscs]	weak	
narl	nuof	+	[gea, hibscs]	weak	
narl	nuog	+	[gea, hibscs]	weak	
narl	nuoh	+	[gea, hibscs]	weak	
narl	nuoi	+	[gea, hibscs]	weak	
narl	nuoj	+	[gea, hibscs]	weak	
narl	nuok	+	[gea, hibscs]	weak	
narl	nuol	+	[gea, hibscs]	weak	
narl	nuom	+	[gea, hibscs]	weak	
narl	nuon	+	[gea, hibscs]	weak	
narl	ogt	+	[bpp]	strong	
narl	ompw	-	[aibscs, bpp, gea]	weak	
narl	pflb	-	[bpp, gea, hibscs]	strong	
narl	tora	-	[imp]	weak	
narl	torc	-	[imp]	weak	
narl	tord	-	[imp]	weak	
narl	ubia	-	[gea]	weak	
narl	ubic	-	[gea]	weak	
narl	ydep	+	[bpp, gea]	strong	
narl	ydht	-	[bpp, gea, hibscs, sm]	strong	
narl	ydhu	-	[bpp, gea, hibscs, sm]	strong	
narl	ydhv	-	[bpp, gea, hibscs, sm]	strong	
narl	ydhw	-	[bpp, gea, hibscs, sm]	strong	
narl	ydhx	-	[bpp, gea, hibscs, sm]	strong	
narl	ydhy	-	[bpp, gea, hibscs, sm]	strong	
narl	year	+	[aibscs, bpp, gea]	weak	
narl	ynfe	-	[aibscs, bpp]	weak	
narl	ynff	-	[aibscs, bpp]	weak	
narl	ynfg	-	[aibscs, bpp]	weak	
narl	ynfh	-	[aibscs, bpp]	weak	
narl	yoag	+	[aibscs, bpp, gea]	weak	
narl	ytfe	+	[aibscs]	weak	
narp	ccma	+	[gea, hibscs, sm]	weak	
narp	ccma	-	[gea, hibscs, sm]	weak	
narp	ccmb	+	[gea, hibscs, sm]	weak	
narp	ccmb	-	[gea, hibscs, sm]	weak	
narp	ccmc	+	[gea, hibscs, sm]	weak	
narp	ccmc	-	[gea, hibscs, sm]	weak	
narp	ccmd	+	[gea, hibscs, sm]	weak	
narp	ccmd	-	[gea, hibscs, sm]	weak	
narp	ccme	+	[gea, hibscs, sm]	weak	
narp	ccme	-	[gea, hibscs, sm]	weak	
narp	ccmf	+	[gea, hibscs, sm]	weak	
narp	ccmf	-	[gea, hibscs, sm]	weak	
narp	ccmg	+	[gea, hibscs, sm]	weak	
narp	ccmg	-	[gea, hibscs, sm]	weak	
narp	ccmh	+	[gea, hibscs, sm]	weak	
narp	ccmh	-	[gea, hibscs, sm]	weak	
narp	cysg	+	[bce, bpp, gea, sm]	weak	
narp	fdhf	+	[gea]	weak	
narp	fdng	-	[gea, sm]	weak	
narp	fdnh	-	[gea, sm]	weak	
narp	fdni	-	[gea, sm]	weak	
narp	hcp	+	[gea, hibscs]	weak	
narp	hcr	+	[gea, hibscs]	weak	
narp	hyaa	-	[gea, hibscs]	weak	
narp	hyab	-	[gea, hibscs]	weak	
narp	hyac	-	[gea, hibscs]	weak	
narp	hyad	-	[gea, hibscs]	weak	
narp	hyae	-	[gea, hibscs]	weak	
narp	hyaf	-	[gea, hibscs]	weak	
narp	napa	+	[gea, hibscs, sm]	weak	
narp	napa	-	[gea, hibscs, sm]	weak	
narp	napb	+	[gea, hibscs, sm]	weak	
narp	napb	-	[gea, hibscs, sm]	weak	
narp	napc	+	[gea, hibscs, sm]	weak	
narp	napc	-	[gea, hibscs, sm]	weak	
narp	napd	+	[gea, hibscs, sm]	weak	
narp	napd	-	[gea, hibscs, sm]	weak	
narp	napf	+	[gea, hibscs, sm]	weak	
narp	napf	-	[gea, hibscs, sm]	weak	
narp	napg	+	[gea, hibscs, sm]	weak	
narp	napg	-	[gea, hibscs, sm]	weak	
narp	naph	+	[gea, hibscs, sm]	weak	
narp	naph	-	[gea, hibscs, sm]	weak	
narp	nirb	+	[bce, bpp, gea, sm]	weak	
narp	nirc	+	[bce, bpp, gea, sm]	weak	
narp	nird	+	[bce, bpp, gea, sm]	weak	
narp	norv	-	[gea, hibscs]	weak	
narp	norw	-	[gea, hibscs]	weak	
narp	nrfa	+	[bpp, gea, hibscs, sm]	strong	
narp	nrfb	+	[bpp, gea, hibscs, sm]	strong	
narp	nrfc	+	[bpp, gea, hibscs, sm]	strong	
narp	nrfd	+	[bpp, gea, hibscs, sm]	strong	
narp	nrfe	+	[bpp, gea, hibscs, sm]	strong	
narp	nrff	+	[bpp, gea, hibscs, sm]	strong	
narp	nrfg	+	[bpp, gea, hibscs, sm]	strong	
narp	ydep	-	[bpp, gea]	strong	
narp	ydht	-	[bpp, gea, hibscs, sm]	strong	
narp	ydhu	-	[bpp, gea, hibscs, sm]	strong	
narp	ydhv	-	[bpp, gea, hibscs, sm]	strong	
narp	ydhw	-	[bpp, gea, hibscs, sm]	strong	
narp	ydhx	-	[bpp, gea, hibscs, sm]	strong	
narp	ydhy	-	[bpp, gea, hibscs, sm]	strong	
narp	year	+	[aibscs, gea]	weak	
narp	yoag	+	[aibscs, gea]	weak	
narp	ytfe	+	[aibscs]	weak	
nemr	gloa	-	[aibscs, bpp, gea]	weak	
nemr	nema	-	[aibscs, bpp, gea]	weak	
nemr	nemr	-	[aibscs, bpp, gea]	weak	
nhar	nhaa	+	[bce, bpp, gea]	weak	
nhar	nhaa	?	[bce, bpp, gea]	weak	
nhar	nhar	+	[bce, bpp, gea]	weak	
nhar	nhar	?	[bce, bpp, gea]	weak	
nhar	osmc	+	[bce, gea, sm]	weak	
nhar	pgaa	+	[bpp, gea, hibscs]	strong	
nhar	pgab	+	[bpp, gea, hibscs]	strong	
nhar	pgac	+	[bpp, gea, hibscs]	strong	
nhar	pgad	+	[bpp, gea, hibscs]	strong	
nikr	nika	-	[bpp]	strong	
nikr	nikb	-	[bpp]	strong	
nikr	nikc	-	[bpp]	strong	
nikr	nikd	-	[bpp]	strong	
nikr	nike	-	[bpp]	strong	
nikr	nikr	-	[bpp]	strong	
nimr	nimr	-	[bpp, gea, icwho]	strong	
nimr	nimt	-	[bpp, gea, icwho]	strong	
norr	norr	-	[aibscs, bpp, gea]	weak	
norr	norv	+	[aibscs, bpp, gea]	weak	
norr	norw	+	[aibscs, bpp, gea]	weak	
nrdr	nrda	-	[bpp, gea, hibscs, sm]	strong	
nrdr	nrdb	-	[bpp, gea, hibscs, sm]	strong	
nrdr	nrdd	-	[bpp, gea, hibscs]	strong	
nrdr	nrde	-	[bpp, gea, hibscs]	strong	
nrdr	nrdf	-	[bpp, gea, hibscs]	strong	
nrdr	nrdg	-	[bpp, gea, hibscs]	strong	
nrdr	nrdh	-	[bpp, gea, hibscs]	strong	
nrdr	nrdi	-	[bpp, gea, hibscs]	strong	
nrdr	yfae	-	[bpp, gea, hibscs, sm]	strong	
nsrr	acee	-	[gea, hibscs]	weak	
nsrr	acef	-	[gea, hibscs]	weak	
nsrr	bame	-	[gea, hibscs]	weak	
nsrr	bdca	-	[gea, hibscs]	weak	
nsrr	cdd	-	[gea, hibscs]	weak	
nsrr	dkgb	-	[gea, hibscs]	weak	
nsrr	dsdc	-	[gea, hibscs]	weak	
nsrr	feab	-	[gea, hibscs]	weak	
nsrr	fear	-	[gea, hibscs]	weak	
nsrr	fhla	-	[gea, hibscs]	weak	
nsrr	flia	-	[gea, hibscs, sm]	weak	
nsrr	fliz	-	[gea, hibscs, sm]	weak	
nsrr	grxd	-	[gea, hibscs]	weak	
nsrr	hcp	-	[bce, gea, hibscs, sm]	weak	
nsrr	hcr	-	[bce, gea, hibscs, sm]	weak	
nsrr	hmp	-	[aibscs, gea, hibscs]	weak	
nsrr	hyca	-	[gea, hibscs]	weak	
nsrr	hycb	-	[gea, hibscs]	weak	
nsrr	hycc	-	[gea, hibscs]	weak	
nsrr	hycd	-	[gea, hibscs]	weak	
nsrr	hyce	-	[gea, hibscs]	weak	
nsrr	hycf	-	[gea, hibscs]	weak	
nsrr	hycg	-	[gea, hibscs]	weak	
nsrr	hych	-	[gea, hibscs]	weak	
nsrr	hyci	-	[gea, hibscs]	weak	
nsrr	hypa	-	[gea, hibscs]	weak	
nsrr	hypb	-	[gea, hibscs]	weak	
nsrr	hypc	-	[gea, hibscs]	weak	
nsrr	hypd	-	[gea, hibscs]	weak	
nsrr	hype	-	[gea, hibscs]	weak	
nsrr	ihfa	-	[gea, hibscs]	weak	
nsrr	infc	-	[gea, hibscs]	weak	
nsrr	lrp	-	[gea, hibscs]	weak	
nsrr	meph	-	[gea, hibscs]	weak	
nsrr	mhpt	-	[gea, hibscs]	weak	
nsrr	ndh	-	[gea, hibscs]	weak	
nsrr	norr	-	[gea, hibscs]	weak	
nsrr	nrfa	-	[bce, gea, hibscs, sm]	weak	
nsrr	nrfb	-	[bce, gea, hibscs, sm]	weak	
nsrr	nrfc	-	[bce, gea, hibscs, sm]	weak	
nsrr	nrfd	-	[bce, gea, hibscs, sm]	weak	
nsrr	nrfe	-	[bce, gea, hibscs, sm]	weak	
nsrr	nrff	-	[bce, gea, hibscs, sm]	weak	
nsrr	nrfg	-	[bce, gea, hibscs, sm]	weak	
nsrr	pgpc	-	[gea, hibscs]	weak	
nsrr	phem	-	[gea, hibscs]	weak	
nsrr	phes	-	[gea, hibscs]	weak	
nsrr	phet	-	[gea, hibscs]	weak	
nsrr	rfe	-	[gea, hibscs]	weak	
nsrr	rffc	-	[gea, hibscs]	weak	
nsrr	rffg	-	[gea, hibscs]	weak	
nsrr	rffh	-	[gea, hibscs]	weak	
nsrr	rffm	-	[gea, hibscs]	weak	
nsrr	rfft	-	[gea, hibscs]	weak	
nsrr	rplt	-	[gea, hibscs]	weak	
nsrr	rpmi	-	[gea, hibscs]	weak	
nsrr	rybb	-	[gea]	weak	
nsrr	sodb	-	[aibscs, gea]	weak	
nsrr	sufa	-	[gea, hibscs]	weak	
nsrr	sufb	-	[gea, hibscs]	weak	
nsrr	sufc	-	[gea, hibscs]	weak	
nsrr	sufd	-	[gea, hibscs]	weak	
nsrr	sufe	-	[gea, hibscs]	weak	
nsrr	sufs	-	[gea, hibscs]	weak	
nsrr	tada	-	[gea, hibscs]	weak	
nsrr	tcyj	-	[gea, hibscs, sm]	weak	
nsrr	teha	-	[aibscs, gea, hibscs]	weak	
nsrr	tehb	-	[aibscs, gea, hibscs]	weak	
nsrr	thrs	-	[gea, hibscs]	weak	
nsrr	tsga	-	[gea, hibscs]	weak	
nsrr	waah	-	[gea, hibscs]	weak	
nsrr	wecb	-	[gea, hibscs]	weak	
nsrr	wecc	-	[gea, hibscs]	weak	
nsrr	wece	-	[gea, hibscs]	weak	
nsrr	wzxe	-	[gea, hibscs]	weak	
nsrr	wzye	-	[gea, hibscs]	weak	
nsrr	wzze	-	[gea, hibscs]	weak	
nsrr	ydbd	-	[gea, hibscs]	weak	
nsrr	yeae	-	[gea, hibscs]	weak	
nsrr	year	-	[aibscs, gea]	weak	
nsrr	ygba	-	[aibscs, gea, hibscs]	weak	
nsrr	yoag	-	[aibscs, gea]	weak	
nsrr	ytfe	-	[aibscs, gea, hibscs, sm]	weak	
ntrc	amtb	+	[hibscs]	weak	
ntrc	argt	+	[aibscs, gea]	weak	
ntrc	asta	+	[aibscs, bpp, gea]	weak	
ntrc	astb	+	[aibscs, bpp, gea]	weak	
ntrc	astc	+	[aibscs, bpp, gea]	weak	
ntrc	astd	+	[aibscs, bpp, gea]	weak	
ntrc	aste	+	[aibscs, bpp, gea]	weak	
ntrc	cbl	+	[gea]	weak	
ntrc	ddpa	+	[aibscs, gea]	weak	
ntrc	ddpb	+	[aibscs, gea]	weak	
ntrc	ddpc	+	[aibscs, gea]	weak	
ntrc	ddpd	+	[aibscs, gea]	weak	
ntrc	ddpf	+	[aibscs, gea]	weak	
ntrc	ddpx	+	[aibscs, gea]	weak	
ntrc	glna	+	[bpp, gea, hibscs, sm]	strong	
ntrc	glna	-	[bpp, gea, hibscs, sm]	strong	
ntrc	glng	+	[bpp, gea, hibscs, sm]	strong	
ntrc	glng	-	[bpp, gea, hibscs, sm]	strong	
ntrc	glnh	+	[bpp, hibscs]	strong	
ntrc	glnh	-	[bpp, hibscs]	strong	
ntrc	glnk	+	[hibscs]	weak	
ntrc	glnl	+	[bpp, gea, hibscs, sm]	strong	
ntrc	glnl	-	[bpp, gea, hibscs, sm]	strong	
ntrc	glnp	+	[bpp, hibscs]	strong	
ntrc	glnp	-	[bpp, hibscs]	strong	
ntrc	glnq	+	[bpp, hibscs]	strong	
ntrc	glnq	-	[bpp, hibscs]	strong	
ntrc	hisj	+	[aibscs, gea]	weak	
ntrc	hism	+	[aibscs, gea]	weak	
ntrc	hisp	+	[aibscs, gea]	weak	
ntrc	hisq	+	[aibscs, gea]	weak	
ntrc	nac	+	[hibscs]	weak	
ntrc	pata	+	[aibscs, gea, iep]	weak	
ntrc	potf	+	[gea]	weak	
ntrc	potg	+	[gea]	weak	
ntrc	poth	+	[gea]	weak	
ntrc	poti	+	[gea]	weak	
ntrc	rela	+	[bpp, gea]	strong	
ntrc	rpoe	+	[bpp, hibscs]	strong	
ntrc	rsea	+	[bpp, hibscs]	strong	
ntrc	rseb	+	[bpp, hibscs]	strong	
ntrc	rsec	+	[bpp, hibscs]	strong	
ntrc	ruta	+	[aibscs, gea]	weak	
ntrc	rutb	+	[aibscs, gea]	weak	
ntrc	rutc	+	[aibscs, gea]	weak	
ntrc	rutd	+	[aibscs, gea]	weak	
ntrc	rute	+	[aibscs, gea]	weak	
ntrc	rutf	+	[aibscs, gea]	weak	
ntrc	rutg	+	[aibscs, gea]	weak	
ntrc	yeag	+	[gea]	weak	
ntrc	yeah	+	[gea]	weak	
ntrc	yhdw	+	[aibscs, gea]	weak	
ntrc	yhdx	+	[aibscs, gea]	weak	
ntrc	yhdy	+	[aibscs, gea]	weak	
ntrc	yhdz	+	[aibscs, gea]	weak	
ompr	bola	-	[bpp, hibscs]	strong	
ompr	csgd	+	[bpp, gea, hibscs]	strong	
ompr	csge	+	[bpp, gea, hibscs]	strong	
ompr	csgf	+	[bpp, gea, hibscs]	strong	
ompr	csgg	+	[bpp, gea, hibscs]	strong	
ompr	dtpa	+	[bpp, gea]	strong	
ompr	ecnb	-	[hibscs]	weak	
ompr	fadl	-	[gea, hibscs, sm]	weak	
ompr	flhc	-	[hibscs]	weak	
ompr	flhd	-	[hibscs]	weak	
ompr	micf	+	[bpp, gea, hibscs, sm]	strong	
ompr	nmpc	-	[hibscs, sm]	weak	
ompr	ompc	+	[bpp, gea, hibscs, sm]	strong	
ompr	ompf	+	[bpp, gea, hibscs, sm]	strong	
ompr	ompf	+-	[aibscs, bce, bpp, gea, hibscs, sm]	weak	
ompr	ompf	-	[bpp, gea]	strong	
ompr	omra	+	[gea, hibscs]	weak	
ompr	omrb	+	[gea, hibscs]	weak	
ompr	pgaa	-	[bpp, gea, hibscs]	strong	
ompr	pgab	-	[bpp, gea, hibscs]	strong	
ompr	pgac	-	[bpp, gea, hibscs]	strong	
ompr	pgad	-	[bpp, gea, hibscs]	strong	
ompr	sra	-	[gea]	weak	
oxyr	ahpc	+	[bpp, gea, hibscs]	strong	
oxyr	ahpf	+	[bpp, gea, hibscs]	strong	
oxyr	dps	+	[hibscs]	weak	
oxyr	dsbg	+	[bpp, gea, hibscs]	strong	
oxyr	fhuf	-	[bpp, gea, hibscs]	strong	
oxyr	flu	-	[bpp, gea, hibscs, sm]	strong	
oxyr	fur	+	[bpp, gea, hibscs]	strong	
oxyr	gntp	-	[gea, hibscs]	weak	
oxyr	gor	+	[gea]	weak	
oxyr	grxa	+	[bpp, gea, hibscs]	strong	
oxyr	hcp	+	[bpp, gea]	strong	
oxyr	hcr	+	[bpp, gea]	strong	
oxyr	hemh	+	[bpp, gea]	strong	
oxyr	isrc	-	[bpp, gea, hibscs, sm]	strong	
oxyr	katg	+	[bpp, gea, hibscs]	strong	
oxyr	mnth	+	[aibscs, gea, hibscs, sm]	weak	
oxyr	nfsa	-	[bpp, gea, hibscs]	strong	
oxyr	oxyr	-	[bpp, gea, hibscs]	strong	
oxyr	oxys	+	[bpp, gea, hibscs]	strong	
oxyr	rimk	-	[bpp, gea, hibscs]	strong	
oxyr	sufa	+	[bpp, gea, sm]	strong	
oxyr	sufb	+	[bpp, gea, sm]	strong	
oxyr	sufc	+	[bpp, gea, sm]	strong	
oxyr	sufd	+	[bpp, gea, sm]	strong	
oxyr	sufe	+	[bpp, gea, sm]	strong	
oxyr	sufs	+	[bpp, gea, sm]	strong	
oxyr	trxc	+	[bpp, gea, hibscs]	strong	
oxyr	uof	+	[bpp, gea, hibscs]	strong	
oxyr	uxua	-	[gea, hibscs]	weak	
oxyr	uxub	-	[gea, hibscs]	weak	
oxyr	ybjc	-	[bpp, gea, hibscs]	strong	
oxyr	ybjn	-	[bpp, gea, hibscs]	strong	
oxyr	ychf	-	[bpp, hibscs]	strong	
oxyr	yhja	+	[aibscs, bpp, hibscs]	weak	
paax	paaa	-	[bce, gea, hibscs, sm]	weak	
paax	paab	-	[bce, gea, hibscs, sm]	weak	
paax	paac	-	[bce, gea, hibscs, sm]	weak	
paax	paad	-	[bce, gea, hibscs, sm]	weak	
paax	paae	-	[bce, gea, hibscs, sm]	weak	
paax	paaf	-	[bce, gea, hibscs, sm]	weak	
paax	paag	-	[bce, gea, hibscs, sm]	weak	
paax	paah	-	[bce, gea, hibscs, sm]	weak	
paax	paai	-	[bce, gea, hibscs, sm]	weak	
paax	paaj	-	[bce, gea, hibscs, sm]	weak	
paax	paak	-	[bce, gea, hibscs, sm]	weak	
paax	paax	-	[bpp, hibscs]	strong	
paax	paay	-	[bpp, hibscs]	strong	
paax	paaz	-	[bce, gea, hibscs, sm]	weak	
pdel	pdel	+	[bpp, gea, ihbce]	strong	
pdhr	acee	-	[aibscs, bce, bpp, gea, hibscs]	weak	
pdhr	acef	-	[aibscs, bce, bpp, gea, hibscs]	weak	
pdhr	cyoa	-	[bpp, gea, hibscs]	strong	
pdhr	cyob	-	[bpp, gea, hibscs]	strong	
pdhr	cyoc	-	[bpp, gea, hibscs]	strong	
pdhr	cyod	-	[bpp, gea, hibscs]	strong	
pdhr	cyoe	-	[bpp, gea, hibscs]	strong	
pdhr	ddlb	-	[aibscs, bpp, gea]	weak	
pdhr	feca	+	[aibscs, gea]	weak	
pdhr	fecb	+	[aibscs, gea]	weak	
pdhr	fecc	+	[aibscs, gea]	weak	
pdhr	fecd	+	[aibscs, gea]	weak	
pdhr	fece	+	[aibscs, gea]	weak	
pdhr	ftsa	-	[aibscs, bpp, gea]	weak	
pdhr	ftsi	-	[aibscs, bpp, gea]	weak	
pdhr	ftsl	-	[aibscs, bpp, gea]	weak	
pdhr	ftsq	-	[aibscs, bpp, gea]	weak	
pdhr	ftsw	-	[aibscs, bpp, gea]	weak	
pdhr	ftsz	-	[aibscs, bpp, gea]	weak	
pdhr	glca	-	[aibscs, bpp, gea]	weak	
pdhr	glcb	-	[aibscs, bpp, gea]	weak	
pdhr	glcd	-	[aibscs, bpp, gea]	weak	
pdhr	glce	-	[aibscs, bpp, gea]	weak	
pdhr	glcf	-	[aibscs, bpp, gea]	weak	
pdhr	glcg	-	[aibscs, bpp, gea]	weak	
pdhr	grca	-	[gea, hibscs]	weak	
pdhr	heml	-	[aibscs]	weak	
pdhr	hha	-	[aibscs]	weak	
pdhr	lpd	-	[aibscs, bce, bpp, gea, hibscs]	weak	
pdhr	lpxc	-	[aibscs, bpp, gea]	weak	
pdhr	mray	-	[aibscs, bpp, gea]	weak	
pdhr	mraz	-	[aibscs, bpp, gea]	weak	
pdhr	murc	-	[aibscs, bpp, gea]	weak	
pdhr	murd	-	[aibscs, bpp, gea]	weak	
pdhr	mure	-	[aibscs, bpp, gea]	weak	
pdhr	murf	-	[aibscs, bpp, gea]	weak	
pdhr	murg	-	[aibscs, bpp, gea]	weak	
pdhr	ndh	-	[bpp, gea, hibscs]	strong	
pdhr	pdhr	-	[aibscs, bce, bpp, gea, hibscs]	weak	
pdhr	rsmh	-	[aibscs, bpp, gea]	weak	
pdhr	tomb	-	[aibscs]	weak	
pepa	cara	-	[bpp, gea, imp]	strong	
pepa	carb	-	[bpp, gea, imp]	strong	
pepa	pepa	-	[bpp]	strong	
pgrr	mpaa	-	[bpp, gea, igi]	strong	
pgrr	tyrr	-	[bpp, gea, igi]	strong	
pgrr	ycjf	-	[bpp, gea, igi]	strong	
pgrr	ycjg	-	[bpp, gea, igi]	strong	
pgrr	ycjx	-	[bpp, gea, igi]	strong	
pgrr	ycjy	-	[bpp, gea, igi]	strong	
pgrr	ymjc	-	[bpp, gea, igi]	strong	
